Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2046 0.278303946145 3.49225954854 -0.148251085382 -0.412693291234 -0.0386163509561 0.0192802093047 0.319314900803 0 0.0767397675356 0 1.53479535 10.73054354 7.277254 0.
2047 0.351530767334 3.84379031587 -0.122186011837 -0.534879303071 -0.143084945887 -0.123804736582 0.331844062234 0 0.0878642061239 0 1.75728412 11.27328496 7.31939568 0.
2048 0.368418865594 4.21220918146 -0.0356321065294 -0.5705114096 -0.0833237104602 -0.207128447042 0.343651277233 0 0.0875553533952 0 1.75110707 11.62286862 7.68287772 0.
2049 0.396630965035 4.6088401465 0.0117099714192 -0.558801438181 -0.0376220683698 -0.244750515412 0.356182002874 0 0.0869960481177 0 1.73992096 11.99040081 8.07557864 0.
2050 0.249261689254 4.85810183575 0.0180008448347 -0.540800593346 0.0462015768373 -0.198548938575 0.362802731602 0 0.0860991973168 0 1.72198395 12.17556991 8.30110603 0.
2051 0.437115136676 5.29521697243 -0.0123466543831 -0.553147247729 -0.0196535793728 -0.218202517948 0.378995754252 0 0.0950325296273 0 1.90065059 12.79536057 8.51889674 0.
2052 0.16706876824 5.46228574067 -0.0871095387427 -0.640256786472 -0.101091179705 -0.319293697653 0.381867361729 0 0.106279278045 0 2.12558556 13.05021002 8.26764251 0.
2053 -0.100197087224 5.36208865345 -0.117176369753 -0.757433156225 -0.00340461456192 -0.322698312215 0.379898887439 0 0.114004405137 0 2.2800881 13.1070327 7.97683447 0.
2054 -0.256553751642 5.10553490181 -0.133068970688 -0.890502126913 -0.0188987756385 -0.341597087853 0.377098724386 0 0.121443081173 0 2.42886162 13.13460795 7.6696693 0.
2055 -0.0642101988496 5.04132470296 -0.095579185346 -0.986081312259 -0.112838335168 -0.454435423021 0.384199662324 0 0.126989633182 0 2.53979266 13.43083437 7.71630087 0.
2056 -0.104748475404 4.93657622756 -0.0935009948115 -1.07958230707 -0.0489945395703 -0.503429962591 0.386297012324 0 0.132544396564 0 2.65088793 13.57707632 7.61257847 0.
2057 -0.22651632909 4.71005989847 -0.138623397104 -1.21820570417 -0.00489004652086 -0.508320009112 0.384679509341 0 0.143193654986 0 2.8638731 13.68829011 7.24457563 0.
2058 -0.238093157225 4.47196674124 -0.203213674683 -1.42141937885 -0.101771122262 -0.610091131374 0.384866646169 0 0.161074812225 0 3.22149624 13.96212157 6.71375502 0.
2059 -0.231558564067 4.24040817717 -0.127861046535 -1.54928042538 -0.0827637926295 -0.692854924004 0.385504805063 0 0.162969726795 0 3.25939454 14.00969005 6.67605235 0.
2060 0.025520896732 4.2659290739 -0.161968119613 -1.71124854499 -0.110722560166 -0.80357748417 0.395432489166 0 0.180319982076 0 3.60639964 14.56777441 6.45337521 0.
2061 -0.0735603565101 4.19236871739 -0.127015135698 -1.83826368069 -0.110245003746 -0.913822487916 0.397029245269 0 0.185672591376 0 3.71345183 14.69596623 6.34069962 0.
2062 -0.0398674212622 4.15250129613 -0.111058940083 -1.94932262077 -0.111052336558 -1.02487482447 0.401672349736 0 0.192777331487 0 3.85554663 14.94183046 6.26685055 0.
2063 0.0027242317031 4.15522552783 -0.070766021462 -2.02008864223 -0.0721569167626 -1.09703174123 0.407257727986 0 0.195486596476 0 3.90973193 15.15003079 6.35313395 0.
2064 -0.385787399148 3.76943812868 -0.0774076024851 -2.09749624472 -0.0507057200816 -1.14773746131 0.397844153298 0 0.194730663869 0 3.89461328 14.85628456 6.09340468 0.
2065 -0.424124363584 3.3453137651 -0.118111389547 -2.21560763427 -0.0745475980434 -1.22228505935 0.394137208556 0 0.202457925517 0 4.04915851 14.86098514 5.75037849 0.
2066 -0.338977046615 3.00633671849 -0.148844438119 -2.36445207239 -0.0974790745767 -1.31976413393 0.394248222065 0 0.213657568239 0 4.27315136 15.03231019 5.41771961 0.
2067 -0.166959176892 2.8393775416 -0.0994477611695 -2.46389983356 -0.158517124582 -1.47828125851 0.399096893705 0 0.21747270192 0 4.34945404 15.23499734 5.44872575 0.
2068 -0.133116029194 2.70626151241 -0.0745953723178 -2.53849520588 -0.163915417932 -1.64219667644 0.402036297534 0 0.22031000171 0 4.40620003 15.36573895 5.45178887 0.
2069 -0.327514087504 2.37874742491 -0.085232698538 -2.62372790442 -0.0405002730459 -1.68269694949 0.397241402827 0 0.22275351844 0 4.45507037 15.25854486 5.23463653 0.
2070 -0.33390871079 2.04483871412 -0.0551217622021 -2.67884966662 -0.0195012615914 -1.70219821108 0.395769949375 0 0.221523058121 0 4.43046116 15.19594435 5.22740674 0
2071 -0.134690042985 1.91014867113 -0.0799822083459 -2.75883187497 -0.129946247035 -1.83214445811 0.40170692077 0 0.230008146921 0 4.60016294 15.50132983 5.15096322 0.

